"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.218919250×10^0,1.929273248×10^0,-2.359161854×10^0,-1.708160996×10^0
2.228869250×10^0,1.821205854×10^0,-3.261687040×10^0,-1.733025074×10^0
2.238819250×10^0,1.521135330×10^0,-3.815132141×10^0,-1.294286251×10^0
2.248769250×10^0,1.191490054×10^0,-4.136750221×10^0,-7.679060102×10^-1
2.258719250×10^0,9.205490351×10^-1,-4.220694065×10^0,-3.452355266×10^-1
2.268669250×10^0,7.845970392×10^-1,-4.131046295×10^0,-6.453672796×10^-2
2.278619250×10^0,8.665534854×10^-1,-3.878913879×10^0,4.353714362×10^-2
2.288569750×10^0,1.150313258×10^0,-3.449959993×10^0,-2.438970655×10^-2
2.298519750×10^0,1.447579265×10^0,-2.520379305×10^0,-1.404865384×10^-1
2.308469750×10^0,1.710893154×10^0,-1.216722965×10^0,-2.600544989×10^-1
2.318419750×10^0,1.891981483×10^0,2.297638655×10^-1,-3.920157254×10^-1
2.328369750×10^0,1.944173574×10^0,1.368974447×10^0,-6.443299651×10^-1
2.338319750×10^0,2.024868250×10^0,1.783330798×10^0,-1.128909707×10^0
2.348269750×10^0,2.344322443×10^0,1.785560966×10^0,-1.511555791×10^0
2.358219750×10^0,2.484476566×10^0,1.558451772×10^0,-1.794854522×10^0
2.368169750×10^0,2.425946236×10^0,1.139082432×10^0,-1.803106546×10^0
2.378118750×10^0,2.277773857×10^0,1.190294862×10^0,-1.644280434×10^0
2.388068750×10^0,2.055285692×10^0,1.568999529×10^0,-1.461933017×10^0
2.398018750×10^0,1.798348427×10^0,2.020532608×10^0,-1.288909197×10^0
2.407968750×10^0,1.533434987×10^0,2.287871599×10^0,-1.116395712×10^0
2.417918750×10^0,1.289771914×10^0,2.359560728×10^0,-9.166268706×10^-1
2.427868750×10^0,1.063430905×10^0,2.376348734×10^0,-7.239999175×10^-1
2.437818750×10^0,8.475654721×10^-1,2.315284729×10^0,-5.654531121×10^-1
2.447768750×10^0,6.357482672×10^-1,2.174592733×10^0,-4.538472295×10^-1
2.457718750×10^0,4.432708621×10^-1,2.013426304×10^0,-3.642206490×10^-1
2.467668750×10^0,2.580863535×10^-1,1.859639764×10^0,-3.330528736×10^-1
2.477618750×10^0,4.812102392×10^-2,1.727382541×10^0,-2.963288724×10^-1
2.487568750×10^0,-1.982408166×10^-1,1.632434964×10^0,-2.041163892×10^-1
2.497518750×10^0,-4.697910547×10^-1,1.519954324×10^0,-8.858516812×10^-2
2.507468750×10^0,-7.511076331×10^-1,1.335793018×10^0,4.717293009×10^-2
2.517418750×10^0,-1.053853035×10^0,1.118319750×10^0,1.900560856×10^-1
2.527368750×10^0,-1.340498567×10^0,9.881721735×10^-1,3.518500328×10^-1
2.537318750×10^0,-1.493253469×10^0,9.636271000×10^-1,5.152325034×10^-1
2.547268750×10^0,-1.471329451×10^0,8.187479377×10^-1,5.791352987×10^-1
2.557218750×10^0,-1.234626770×10^0,6.041346788×10^-1,5.800104737×10^-1
2.567168750×10^0,-7.673127651×10^-1,4.250570834×10^-1,5.282474160×10^-1
2.577118750×10^0,-1.246450841×10^-1,2.116024047×10^-1,4.176144898×10^-1
2.587068750×10^0,5.175858140×10^-1,-1.017059758×10^-1,1.714164317×10^-1
2.597018750×10^0,9.362568259×10^-1,6.500864774×10^-2,-3.084850311×10^-1
2.606968750×10^0,1.155081630×10^0,4.495507479×10^-1,-7.804152966×10^-1
2.616918750×10^0,1.250812411×10^0,6.488767862×10^-1,-9.519803524×10^-1
2.626868750×10^0,1.166544437×10^0,8.164263368×10^-1,-9.224573374×10^-1
2.636818750×10^0,9.188573360×10^-1,8.482925892×10^-1,-7.194557190×10^-1
2.646768750×10^0,5.758970976×10^-1,5.007972121×10^-1,-4.493014514×10^-1
2.656718750×10^0,7.251585275×10^-2,-1.233139560×10^-1,-1.348979920×10^-1
2.666668750×10^0,-4.078044295×10^-1,-6.134181619×10^-1,1.801971048×10^-1
2.676618750×10^0,-8.040740490×10^-1,-8.171300888×10^-1,4.603590369×10^-1
2.686568750×10^0,-1.211294889×10^0,-8.422380686×10^-1,6.859232187×10^-1
2.696518750×10^0,-1.588484287×10^0,-5.970351696×10^-1,8.257708549×10^-1
2.706468750×10^0,-1.808389306×10^0,-1.441766024×10^-1,8.595544100×10^-1
2.716418750×10^0,-1.852466702×10^0,-5.556391925×10^-2,8.056728244×10^-1
2.726368750×10^0,-1.654513955×10^0,-2.604550123×10^-1,6.807287335×10^-1
2.736318750×10^0,-1.325409055×10^0,-1.820703298×10^-1,5.656201839×10^-1
2.746268750×10^0,-8.007444143×10^-1,1.481296867×10^-1,5.116869211×10^-1
2.756218750×10^0,-4.827390239×10^-2,1.990552098×10^-1,4.541167319×10^-1
2.766168750×10^0,3.868347108×10^-1,2.182227820×10^-1,5.088254809×10^-1
2.776118750×10^0,3.277953267×10^-1,2.091947645×10^-1,5.852758884×10^-1
2.786068750×10^0,-4.888830334×10^-2,7.025446743×10^-2,6.027555466×10^-1
2.796018750×10^0,-5.323968530×10^-1,-1.713835895×10^-1,6.120705009×10^-1
2.805968750×10^0,-9.900482893×10^-1,-4.291887581×10^-1,6.040783525×10^-1
2.815918750×10^0,-1.335756183×10^0,-5.906053782×10^-1,6.364248991×10^-1
2.825868750×10^0,-1.541513562×10^0,-6.165080667×10^-1,7.595908046×10^-1
2.835818750×10^0,-1.583182096×10^0,-4.989772141×10^-1,9.474223852×10^-1
2.845768750×10^0,-1.504685998×10^0,-3.821035922×10^-1,1.123116374×10^0
2.855718750×10^0,-1.302040219×10^0,-1.273864061×10^-1,1.226532936×10^0
2.865668750×10^0,-1.075539708×10^0,1.716847122×10^-1,1.228463650×10^0
2.875618750×10^0,-9.070914388×10^-1,4.062199593×10^-1,9.703364372×10^-1
2.885568750×10^0,-8.746373653×10^-1,6.223424077×10^-1,2.568167448×10^-1
2.895518750×10^0,-1.169806957×10^0,7.556302547×10^-1,-5.831921697×10^-1
2.905468750×10^0,-1.652097225×10^0,4.925655723×10^-1,-8.615556359×10^-1
2.915418750×10^0,-2.036100388×10^0,-4.881839454×10^-2,-7.711263895×10^-1
2.925368750×10^0,-2.220981836×10^0,-6.287901998×10^-1,-5.484472513×10^-1
2.935318750×10^0,-2.181315422×10^0,-1.086923242×10^0,-3.068408966×10^-1
2.945268750×10^0,-1.944922924×10^0,-1.363496304×10^0,-1.343633980×10^-1
2.955218750×10^0,-1.557387948×10^0,-1.407277346×10^0,-4.702040553×10^-2
2.965168750×10^0,-1.107663989×10^0,-1.227761865×10^0,-6.458598655×10^-3
2.975118750×10^0,-7.515510917×10^-1,-9.201602936×10^-1,1.068946626×10^-2
2.985068750×10^0,-5.543037653×10^-1,-5.895794630×10^-1,6.725980341×10^-2
2.995018750×10^0,-4.827821255×10^-1,-3.444509804×10^-1,1.327796429×10^-1
3.004968750×10^0,-5.174096227×10^-1,-2.519527376×10^-1,1.946576536×10^-1
3.014918750×10^0,-6.525283456×10^-1,-1.285683513×10^-1,2.469391972×10^-1
3.024868750×10^0,-7.966130972×10^-1,1.137425601×10^-1,3.312064111×10^-1
3.034818750×10^0,-9.062739015×10^-1,3.829530478×10^-1,4.340280294×10^-1
3.044768750×10^0,-1.041108131×10^0,4.940452278×10^-1,5.062572360×10^-1
3.054718750×10^0,-1.232852101×10^0,3.348723352×10^-1,5.455912352×10^-1
3.064668750×10^0,-1.390961289×10^0,-6.950045377×10^-2,5.627768636×10^-1
3.074618750×10^0,-1.385420561×10^0,-5.132437348×10^-1,5.678670406×10^-1
3.084568750×10^0,-1.200026393×10^0,-7.408023477×10^-1,5.662896633×10^-1
3.094518750×10^0,-9.137435555×10^-1,-6.212598681×10^-1,5.678268671×10^-1
3.104468750×10^0,-6.483507752×10^-1,-3.137513101×10^-1,5.494720936×10^-1
3.114418750×10^0,-4.604356289×10^-1,-1.358014643×10^-1,5.157163739×10^-1
3.124368750×10^0,-3.669874370×10^-1,-1.433752328×10^-1,4.314805865×10^-1
3.134318750×10^0,-3.528155088×10^-1,-2.394490540×10^-1,3.408055902×10^-1
3.144268750×10^0,-3.193243742×10^-1,-2.891654670×10^-1,2.658325434×10^-1
