"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.605653958×10^0,-5.589526520×10^0,8.746611328×10^0,-3.882925415×10^-1
2.615603958×10^0,-5.025349731×10^0,8.669222260×10^0,-6.524931335×10^-1
2.625552958×10^0,-5.057532806×10^0,8.699758759×10^0,-4.414320374×10^-1
2.635502958×10^0,-5.309758301×10^0,8.627010040×10^0,-5.679190063×10^-1
2.645452958×10^0,-5.288203125×10^0,8.071215820×10^0,-8.069718933×10^-1
2.655402958×10^0,-5.015320587×10^0,7.457042999×10^0,-1.013542328×10^0
2.665352958×10^0,-4.620292053×10^0,6.962321777×10^0,-1.063388672×10^0
2.675302958×10^0,-4.426145782×10^0,6.604715424×10^0,-1.015188904×10^0
2.685252958×10^0,-4.119732971×10^0,6.627617798×10^0,-1.378483429×10^0
2.695202958×10^0,-4.484374695×10^0,7.514822845×10^0,-1.558858337×10^0
2.705152958×10^0,-5.377866669×10^0,8.098309479×10^0,-1.787732391×10^0
2.715102958×10^0,-5.275778961×10^0,8.046068115×10^0,-2.634371796×10^0
2.725052958×10^0,-5.096451874×10^0,7.242539063×10^0,-2.731070709×10^0
2.735002958×10^0,-4.929099884×10^0,6.801256714×10^0,-2.400108948×10^0
2.744952958×10^0,-4.869673462×10^0,6.593189392×10^0,-1.830842743×10^0
2.754901958×10^0,-4.933141479×10^0,6.517746277×10^0,-1.454076233×10^0
2.764851958×10^0,-5.211263123×10^0,5.476511536×10^0,-2.377655640×10^0
2.774801958×10^0,-5.395080872×10^0,4.806205444×10^0,-2.928360443×10^0
2.784751958×10^0,-5.276078339×10^0,4.507576447×10^0,-2.674338684×10^0
2.794701958×10^0,-5.301824799×10^0,4.304897919×10^0,-2.469863892×10^0
2.804651958×10^0,-5.408552856×10^0,3.975283356×10^0,-2.490071869×10^0
2.814601958×10^0,-5.946234741×10^0,4.444856873×10^0,-2.794838104×10^0
2.824551958×10^0,-6.005361786×10^0,5.918392639×10^0,-3.201542358×10^0
2.834501958×10^0,-5.490133209×10^0,7.449408875×10^0,-3.459456024×10^0
2.844451958×10^0,-5.162464600×10^0,8.124355316×10^0,-3.279829559×10^0
2.854401958×10^0,-4.622836761×10^0,8.029003601×10^0,-2.987038422×10^0
2.864351958×10^0,-3.835474091×10^0,7.805218964×10^0,-2.451003113×10^0
2.874301958×10^0,-3.480262756×10^0,7.386539612×10^0,-1.965562592×10^0
2.884251958×10^0,-3.946393433×10^0,6.161786499×10^0,-2.906056824×10^0
2.894200958×10^0,-3.514691162×10^0,6.604116669×10^0,-2.760110321×10^0
2.904150958×10^0,-4.181404724×10^0,7.244335327×10^0,-2.044149170×10^0
2.914100958×10^0,-3.839216309×10^0,9.023385773×10^0,-1.632505188×10^0
2.924050958×10^0,-5.285957794×10^0,8.073161774×10^0,-2.238744507×10^0
2.934000958×10^0,-5.186714172×10^0,7.905510406×10^0,-2.972967682×10^0
2.943950958×10^0,-5.253625031×10^0,7.719447327×10^0,-3.454067230×10^0
2.953900958×10^0,-4.849315796×10^0,7.980354767×10^0,-3.556753693×10^0
2.963850958×10^0,-2.916834412×10^0,1.178589111×10^1,-6.563850403×10^-1
2.973800958×10^0,-2.825075226×10^0,1.426009598×10^1,2.680026855×10^0
2.983750958×10^0,-4.392316132×10^0,1.296573761×10^1,-1.478325806×10^0
2.993700958×10^0,-5.657934265×10^0,1.207763443×10^1,-4.062851257×10^0
3.003650958×10^0,-5.068460083×10^0,1.176628189×10^1,-3.986809387×10^0
3.013600958×10^0,-4.088298340×10^0,1.087174210×10^1,-3.608995056×10^0
3.023550958×10^0,-4.192182312×10^0,9.554481354×10^0,-3.268303528×10^0
3.033500958×10^0,-4.184398499×10^0,9.290430450×10^0,-2.838996277×10^0
3.043449958×10^0,-4.217180328×10^0,9.497899017×10^0,-2.942281494×10^0
3.053399958×10^0,-4.000880127×10^0,9.538614349×10^0,-3.429368591×10^0
3.063349958×10^0,-3.350931702×10^0,9.251212006×10^0,-4.251758423×10^0
3.073299958×10^0,-4.033661957×10^0,7.829618225×10^0,-4.471202087×10^0
3.083249958×10^0,-4.172722778×10^0,7.619305573×10^0,-2.963088226×10^0
3.093199958×10^0,-3.606150970×10^0,7.593259735×10^0,-2.497107239×10^0
3.103149958×10^0,-3.497177582×10^0,7.433392181×10^0,-2.310595093×10^0
3.113099958×10^0,-3.527414703×10^0,7.286397858×10^0,-2.238445129×10^0
3.123050125×10^0,-3.353326721×10^0,7.188651123×10^0,-2.263443146×10^0
3.133000125×10^0,-3.303480377×10^0,7.252717896×10^0,-2.385439453×10^0
3.142950125×10^0,-2.897674255×10^0,6.992259521×10^0,-1.935325470×10^0
3.152900125×10^0,-2.486928406×10^0,6.407276001×10^0,-7.092251587×10^-1
3.162850125×10^0,-2.332000580×10^0,5.777236176×10^0,8.707392883×10^-1
3.172800125×10^0,-2.029329987×10^0,4.634213104×10^0,1.774260406×10^0
3.182750125×10^0,-1.265169067×10^0,3.041974182×10^0,3.077151031×10^0
3.192699125×10^0,-1.857038269×10^0,2.553390198×10^0,7.598199463×10^-1
3.202649125×10^0,-4.264182587×10^0,3.626059570×10^0,-3.896247711×10^0
3.212599125×10^0,-3.685785370×10^0,5.449567566×10^0,-6.230493622×10^0
3.222549125×10^0,-2.247127075×10^0,6.214177551×10^0,-7.589218140×10^0
3.232499125×10^0,-1.257534943×10^0,6.136638794×10^0,-7.044201508×10^0
3.242449125×10^0,-5.987548828×10^-4,5.956413574×10^0,-5.087919617×10^0
