"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.268737208×10^0,-8.064330139×10^0,4.946613464×10^0,1.771566010×10^0
2.278686208×10^0,-8.544082489×10^0,5.495222626×10^0,4.111051025×10^0
2.288636208×10^0,-8.681646423×10^0,5.816753998×10^0,5.568719788×10^0
2.298585208×10^0,-8.835975494×10^0,6.198909302×10^0,6.320456543×10^0
2.308534208×10^0,-8.819360046×10^0,6.085744629×10^0,4.907245331×10^0
2.318483208×10^0,-8.666078796×10^0,5.655539246×10^0,2.014211426×10^0
2.328432208×10^0,-7.795489197×10^0,5.415588226×10^0,-1.220262451×10^0
2.338382208×10^0,-6.211034088×10^0,5.049299927×10^0,-5.526507568×10^0
2.348331208×10^0,-4.423451385×10^0,4.603077850×10^0,-8.294850769×10^0
2.358280208×10^0,-2.822081451×10^0,3.513793030×10^0,-6.553372192×10^0
2.368229208×10^0,-1.457070007×10^0,2.931653595×10^0,-3.374881897×10^0
2.378178208×10^0,-5.117857361×10^-1,2.364483032×10^0,-1.974843292×10^0
2.388127208×10^0,-1.703457642×10^-1,2.568808136×10^0,-2.464026031×10^0
2.398077208×10^0,5.984555054×10^-1,4.771028595×10^0,-3.678151245×10^0
2.408026208×10^0,1.470991058×10^0,1.473221420×10^1,-5.208269348×10^0
2.417975208×10^0,2.641257477×10^0,3.041674805×10^1,-2.346670074×10^0
2.427924208×10^0,2.051633606×10^0,3.690620316×10^1,-8.649014282×10^-1
2.437873208×10^0,-4.008065186×10^0,3.096969818×10^1,-2.270478516×10^0
2.447823208×10^0,-9.925110626×10^0,2.419448730×10^1,-1.613794098×10^0
2.457772333×10^0,-1.234213440×10^1,1.884625900×10^1,-1.268911285×10^0
2.467721333×10^0,-1.090093140×10^1,1.511466888×10^1,-7.505392456×10^-1
2.477670333×10^0,-9.584868164×10^0,1.274883865×10^1,7.523355103×10^-1
2.487619333×10^0,-8.271649017×10^0,1.106693619×10^1,8.656498718×10^-1
2.497569333×10^0,-6.879843292×10^0,1.004830444×10^1,1.545685730×10^0
2.507518333×10^0,-4.534370728×10^0,9.819280701×10^0,1.944306793×10^0
2.517467333×10^0,-2.862347717×10^0,9.879305878×10^0,1.868264923×10^0
2.527416333×10^0,-1.758992157×10^0,9.534572754×10^0,1.363065491×10^0
2.537365333×10^0,-1.003064117×10^0,8.923992462×10^0,6.933581543×10^-1
2.547315333×10^0,-5.496569824×10^-1,8.288264465×10^0,1.276844788×10^-1
2.557264333×10^0,-2.733316040×10^-1,7.714657288×10^0,-3.065625000×10^-1
2.567213333×10^0,-2.207908630×10^-1,7.370373230×10^0,-5.159770203×10^-1
2.577162333×10^0,-5.206173706×10^-1,7.566315765×10^0,-5.984555054×10^-1
2.587111333×10^0,-1.447489929×10^0,8.268206177×10^0,-4.969665527×10^-1
2.597060333×10^0,-2.532134399×10^0,8.809480591×10^0,-2.010319519×10^-1
