"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.505012833×10^0,2.193657681×10^-2,6.800870299×10^-1,-1.022206843×10^-1
2.514962833×10^0,2.396886051×10^-2,6.502024531×10^-1,-8.690664172×10^-2
2.524912833×10^0,2.921368927×10^-2,5.970711112×10^-1,-1.094580293×10^-1
2.534861833×10^0,2.749529481×10^-2,3.557962477×10^-1,-1.126350239×10^-1
2.544811833×10^0,3.003888018×10^-2,-2.863267660×10^-1,-1.424970478×10^-1
2.554761833×10^0,3.375427425×10^-2,-1.066980958×10^0,-2.209635675×10^-1
2.564710833×10^0,3.256277740×10^-2,-1.746466756×10^0,-2.899796367×10^-1
2.574660833×10^0,1.446256507×10^-2,-2.058370590×10^0,-2.663279474×10^-1
2.584609833×10^0,-2.561426256×10^-3,-1.850941539×10^0,-1.636795998×10^-1
2.594559833×10^0,-7.787173614×10^-3,-1.173635483×10^0,-6.876642257×10^-2
2.604509833×10^0,6.009331904×10^-3,-5.324631929×10^-1,-1.024964228×10^-1
2.614458833×10^0,1.308252662×10^-2,-3.071976304×10^-1,-1.205344945×10^-1
2.624408833×10^0,2.115895739×10^-3,-5.543131232×10^-1,-6.542091072×10^-2
2.634357833×10^0,-1.578755118×10^-2,-1.061317563×10^0,1.602417231×10^-2
2.644307833×10^0,-2.264838666×10^-2,-1.515605211×10^0,2.123438008×10^-2
2.654257833×10^0,-2.656493708×10^-2,-1.812706470×10^0,2.628129162×10^-2
2.664206833×10^0,-2.936711349×10^-2,-1.737876892×10^0,2.398058586×10^-2
2.674156833×10^0,-2.486627921×10^-2,-1.428521514×10^0,1.719459705×10^-2
2.684105833×10^0,-2.414243110×10^-2,-1.285613298×10^0,1.568165421×10^-2
2.694055833×10^0,-3.504471108×10^-2,-1.614262342×10^0,3.140468150×10^-2
2.704005833×10^0,1.606856436×10^-1,-2.636852503×10^0,7.621821761×10^-2
2.713954833×10^0,-3.107181489×10^-1,-9.790789485×10^-1,3.805871680×10^-2
2.723904833×10^0,1.441636235×10^-1,4.007572830×10^-1,-1.135863364×10^-2
2.733854833×10^0,5.058901310×10^-1,1.330466509×10^0,-7.878046483×10^-3
2.743803833×10^0,3.549282998×10^-2,-3.534640968×10^-1,1.460569166×10^-2
2.753753833×10^0,-1.435528100×10^-1,-3.867815137×10^-1,3.902481869×10^-3
2.763702833×10^0,-2.678757720×10^-2,-7.213009894×10^-2,-1.487187110×10^-4
2.773652833×10^0,1.118337065×10^-1,2.741776109×10^-1,-3.185584210×10^-4
2.783602833×10^0,4.209643975×10^-2,1.024487317×10^-1,-1.768117072×10^-3
2.793551833×10^0,-5.714765191×10^-2,-1.321781427×10^-1,-1.863744110×10^-4
2.803501833×10^0,-4.627795890×10^-2,-1.165848076×10^-1,3.800799605×10^-4
2.813451833×10^0,3.264082596×10^-2,7.914447784×10^-2,-4.522688687×10^-5
2.823400833×10^0,3.457587957×10^-2,8.352431655×10^-2,-2.157646231×10^-3
2.833350833×10^0,-1.065773889×10^-2,-2.747084014×10^-2,-2.763260622×10^-3
2.843299833×10^0,-2.546278201×10^-2,-6.342377514×10^-2,-4.873233847×10^-4
2.853249833×10^0,3.901647404×10^-3,1.059422176×10^-2,-2.141760197×10^-3
2.863199833×10^0,1.720573381×10^-2,4.089140892×10^-2,4.945029505×10^-4
2.873148833×10^0,1.921019517×10^-3,1.876208698×10^-3,1.449674368×10^-3
2.883098833×10^0,-1.194286440×10^-2,-2.583451383×10^-2,1.465919428×10^-3
2.893048833×10^0,-1.229417743×10^-3,-2.335218480×10^-3,-1.240100246×10^-4
2.902997833×10^0,8.548378013×10^-3,1.712156832×10^-2,-1.518707373×10^-3
2.912947833×10^0,2.254196443×10^-4,3.870805958×10^-3,-2.857351676×10^-3
2.922896833×10^0,-4.475592170×10^-3,-1.162133459×10^-2,-3.222886007×10^-4
2.932846833×10^0,1.227413304×10^-5,1.061242423×10^-3,6.505523343×10^-4
2.942796833×10^0,4.746841732×10^-3,1.028829627×10^-2,1.054820139×10^-3
2.952745833×10^0,-1.202659914×10^-3,-1.973675098×10^-4,5.514826626×10^-4
2.962695833×10^0,-6.639024359×10^-4,-4.089577589×10^-3,-1.578513533×10^-3
2.972644833×10^0,2.688869135×10^-4,1.838853117×10^-3,-9.450286161×10^-4
2.982594833×10^0,5.956244422×10^-5,3.305455903×10^-3,-5.215858109×10^-4
2.992544833×10^0,-1.553479233×10^-3,-1.958659152×10^-3,-1.056244364×10^-3
3.002493833×10^0,-1.054402906×10^-3,-1.857192721×10^-3,-1.471431111×10^-3
3.012443833×10^0,1.708800439×10^-3,1.396462903×10^-3,4.787903745×10^-4
3.022393833×10^0,5.583147868×10^-4,3.149621887×10^-3,9.981065523×10^-4
3.032342833×10^0,4.690535425×10^-4,1.852688147×10^-4,9.385799058×10^-4
3.042292833×10^0,3.762147389×10^-5,2.121386817×10^-3,1.907641999×10^-4
3.052242833×10^0,5.585232284×10^-4,1.937090652×10^-3,-7.757323328×10^-4
3.062191833×10^0,2.892776392×10^-4,7.043133373×10^-4,-8.265986107×10^-4
