"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.139672292×10^0,1.059664845×10^0,-2.821920514×10^-1,-7.686353922×10^-1
2.149622292×10^0,9.962887764×10^-1,-1.708761603×10^-1,-9.995008707×10^-1
2.159571292×10^0,9.861989021×10^-1,-1.757478416×10^-1,-1.060825467×10^0
2.169521292×10^0,1.020842314×10^0,-3.047971725×10^-1,-1.021873116×10^0
2.179471292×10^0,1.087677598×10^0,-4.960595667×10^-1,-8.983062506×10^-1
2.189420292×10^0,1.165753841×10^0,-7.022246718×10^-1,-7.218555808×10^-1
2.199370292×10^0,1.227385521×10^0,-8.463759422×10^-1,-5.408756733×10^-1
2.209320292×10^0,1.233486533×10^0,-8.790090084×10^-1,-4.158578217×10^-1
2.219269292×10^0,1.188072443×10^0,-7.848843336×10^-1,-3.468535841×10^-1
2.229219292×10^0,1.089922190×10^0,-5.892218947×10^-1,-3.148722053×10^-1
2.239168292×10^0,9.669500589×10^-1,-3.939774632×10^-1,-3.001156449×10^-1
2.249118292×10^0,8.423333168×10^-1,-2.706739008×10^-1,-3.392760754×10^-1
2.259068292×10^0,7.340290546×10^-1,-1.937580258×10^-1,-3.985082507×10^-1
2.269017292×10^0,6.312789917×10^-1,-1.229317933×10^-1,-4.597140849×10^-1
2.278967292×10^0,5.291424990×10^-1,-5.350968614×10^-2,-5.013989806×10^-1
2.288917292×10^0,4.413055778×10^-1,7.309378684×10^-2,-5.005161762×10^-1
2.298866292×10^0,3.637627661×10^-1,3.258332908×10^-1,-4.469583929×10^-1
2.308816292×10^0,3.143469989×10^-1,6.603808999×10^-1,-3.477918804×10^-1
2.318766292×10^0,3.153700829×10^-1,1.007154226×10^0,-2.429543138×10^-1
2.328715292×10^0,3.547052443×10^-1,1.298003912×10^0,-1.665689945×10^-1
2.338665292×10^0,3.842006326×10^-1,1.475948095×10^0,-1.023825556×10^-1
2.348615292×10^0,3.623634875×10^-1,1.502241969×10^0,-4.443856329×10^-2
2.358564292×10^0,2.473730892×10^-1,1.357419252×10^0,7.916882634×10^-3
2.368514292×10^0,2.954195999×10^-2,1.073239446×10^0,2.847755142×10^-2
2.378464292×10^0,-2.116317153×10^-1,6.506813765×10^-1,1.759583130×10^-2
2.388413292×10^0,-4.538193047×10^-1,1.525996774×10^-1,-1.666946337×10^-2
2.398363292×10^0,-6.739541292×10^-1,-3.432177007×10^-1,-2.967496589×10^-2
2.408312292×10^0,-8.720437884×10^-1,-7.482429147×10^-1,-4.368373007×10^-2
2.418262292×10^0,-1.048005939×10^0,-1.015195489×10^0,-6.857444346×10^-2
2.428212292×10^0,-1.198269725×10^0,-1.148456335×10^0,-1.128795892×10^-1
2.438161292×10^0,-1.351477981×10^0,-1.166574240×10^0,-1.286789030×10^-1
2.448111292×10^0,-1.536233425×10^0,-1.084326506×10^0,-9.922408313×10^-2
2.458061292×10^0,-1.718352437×10^0,-8.631690741×10^-1,1.142815314×10^-2
2.468010292×10^0,-1.750034690×10^0,-3.867375553×10^-1,2.134899050×10^-1
2.477960292×10^0,-1.518969774×10^0,2.344312817×10^-1,5.346164703×10^-1
2.487910292×10^0,-1.064540744×10^0,7.930858135×10^-1,8.954825401×10^-1
2.497859292×10^0,-6.332587600×10^-1,1.195473075×10^0,1.221943378×10^0
2.507809125×10^0,-4.722472131×10^-1,1.375944853×10^0,1.485461831×10^0
2.517759125×10^0,-5.615068674×10^-1,1.329141378×10^0,1.580196500×10^0
2.527708125×10^0,-7.902276516×10^-1,1.172208786×10^0,1.423007131×10^0
2.537658125×10^0,-1.030892372×10^0,1.011425734×10^0,1.113546371×10^0
2.547607125×10^0,-1.192845583×10^0,9.235336781×10^-1,8.099070787×10^-1
2.557557125×10^0,-1.249790192×10^0,9.172229171×10^-1,5.451639295×10^-1
2.567507125×10^0,-1.251009941×10^0,9.323598146×10^-1,3.246941268×10^-1
2.577456125×10^0,-1.219491243×10^0,9.210699201×10^-1,1.749132127×10^-1
2.587406125×10^0,-1.159101129×10^0,8.791956902×10^-1,1.082612127×10^-1
2.597356125×10^0,-1.080178618×10^0,8.211550117×10^-1,1.049932688×10^-1
2.607305125×10^0,-9.917738438×10^-1,7.383999228×10^-1,1.410024017×10^-1
2.617255125×10^0,-8.943570852×10^-1,6.475381851×10^-1,1.976535469×10^-1
2.627205125×10^0,-7.966052294×10^-1,5.445388556×10^-1,2.559557557×10^-1
2.637154125×10^0,-7.097397447×10^-1,4.417878985×10^-1,3.074842095×10^-1
2.647104125×10^0,-6.259841323×10^-1,3.350457251×10^-1,3.353446126×10^-1
2.657054125×10^0,-5.540855527×10^-1,2.320632488×10^-1,3.256331682×10^-1
2.667003125×10^0,-4.921446443×10^-1,1.336775571×10^-1,2.815325558×10^-1
2.676953125×10^0,-4.490510225×10^-1,1.822655834×10^-2,1.996758729×10^-1
2.686902125×10^0,-4.288812876×10^-1,-1.144009903×10^-1,9.932077676×10^-2
2.696852125×10^0,-4.426001012×10^-1,-2.508218884×10^-1,1.489959285×10^-2
2.706802125×10^0,-5.063889623×10^-1,-3.725379109×10^-1,-5.527070537×10^-2
2.716751125×10^0,-6.090348363×10^-1,-4.834907055×10^-1,-1.008840650×10^-1
2.726701125×10^0,-7.334478498×10^-1,-6.551495790×10^-1,-1.372322142×10^-1
2.736651125×10^0,-8.082426190×10^-1,-9.152096510×10^-1,-1.161656082×10^-1
