"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.889103333×10^0,-1.116068244×10^0,-2.119764239×10^-1,1.069053411×10^0
2.899053333×10^0,-7.414333224×10^-1,-5.294870138×10^-1,1.382416964×10^0
2.909003333×10^0,-5.528603792×10^-1,-7.014397979×10^-1,1.665728807×10^0
2.918953333×10^0,-6.446725726×10^-1,-6.502445340×10^-1,1.866947889×10^0
2.928903333×10^0,-8.401318192×10^-1,-4.395334721×10^-1,1.898655534×10^0
2.938852333×10^0,-9.665898681×10^-1,-1.640955061×10^-1,1.754752636×10^0
2.948802333×10^0,-9.700810313×10^-1,9.027054906×10^-2,1.482858539×10^0
2.958752333×10^0,-9.152058363×10^-1,3.082063198×10^-1,1.168323755×10^0
2.968702333×10^0,-8.470897079×10^-1,4.769776762×10^-1,8.527632356×10^-1
2.978652333×10^0,-7.677131295×10^-1,5.387465358×10^-1,5.718652606×10^-1
2.988602333×10^0,-6.841484904×10^-1,4.925387800×10^-1,3.707364202×10^-1
2.998552333×10^0,-5.944114327×10^-1,3.680498600×10^-1,2.348816544×10^-1
3.008501333×10^0,-5.075506568×10^-1,2.634384036×10^-1,1.502019465×10^-1
3.018451333×10^0,-4.387167692×10^-1,2.139182538×10^-1,1.120066345×10^-1
3.028401333×10^0,-4.018142521×10^-1,2.176285386×10^-1,1.065532938×10^-1
3.038351333×10^0,-4.101361036×10^-1,2.573732734×10^-1,1.147600934×10^-1
3.048301333×10^0,-4.616671801×10^-1,3.190177679×10^-1,1.295102537×10^-1
3.058251333×10^0,-5.430877209×10^-1,3.754831851×10^-1,1.584614813×10^-1
3.068200333×10^0,-6.265216470×10^-1,4.253849089×10^-1,1.891421825×10^-1
3.078150333×10^0,-6.971604228×10^-1,4.870631993×10^-1,1.878524125×10^-1
3.088100333×10^0,-7.654491663×10^-1,5.834133625×10^-1,1.387715787×10^-1
3.098050333×10^0,-8.579098582×10^-1,6.845634580×10^-1,4.983851314×10^-2
3.108000333×10^0,-9.770258665×10^-1,7.691233754×10^-1,-6.776071340×10^-2
3.117950333×10^0,-1.107484341×10^0,7.924345136×10^-1,-1.660747677×10^-1
3.127899333×10^0,-1.225006580×10^0,7.768357396×10^-1,-2.049784213×10^-1
3.137849333×10^0,-1.305358410×10^0,7.715674639×10^-1,-1.925033778×10^-1
