"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.586939292×10^0,2.763475180×10^-1,4.127933830×10^-2,3.512316197×10^-2
1.596889292×10^0,2.557463646×10^-1,-9.841757268×10^-2,3.015184030×10^-2
1.606839333×10^0,2.034755051×10^-1,3.039995767×10^-2,-1.156961322×10^-1
1.616789333×10^0,1.589397192×10^-1,1.366824508×10^-1,-3.029317856×10^-1
1.626739333×10^0,1.153226495×10^-1,2.434246689×10^-1,-5.295774341×10^-1
1.636689333×10^0,9.484693408×10^-2,1.653772742×10^-1,-7.466117144×10^-1
1.646639333×10^0,6.887289137×10^-2,1.804087311×10^-1,-8.958346248×10^-1
1.656589333×10^0,5.931453779×10^-2,9.399954230×10^-2,-1.069790602×10^0
1.666539333×10^0,1.220739409×10^-1,6.449002773×10^-2,-1.175154090×10^0
1.676489333×10^0,1.982267648×10^-1,3.126457632×10^-1,-1.295848489×10^0
1.686439333×10^0,3.150986731×10^-1,3.593252599×10^-1,-1.376386285×10^0
1.696389333×10^0,4.370110035×10^-1,3.599146307×10^-1,-1.390368104×10^0
1.706339333×10^0,5.019689798×10^-1,4.333843887×10^-1,-1.489600658×10^0
1.716289333×10^0,5.727547407×10^-1,5.149325132×10^-1,-1.585072517×10^0
1.726239333×10^0,6.305448413×10^-1,5.521952510×10^-1,-1.577497363×10^0
1.736189333×10^0,7.008650899×10^-1,5.215920806×10^-1,-1.469473362×10^0
1.746139333×10^0,6.812306643×10^-1,4.190940857×10^-1,-1.253991842×10^0
1.756089333×10^0,6.888001561×10^-1,4.033771753×10^-1,-9.611769319×10^-1
1.766039333×10^0,6.345305443×10^-1,2.269106358×10^-1,-5.008009672×10^-1
1.775989333×10^0,7.222747803×10^-1,-3.785072267×10^-2,-1.378587186×10^-1
1.785939333×10^0,8.495000005×10^-1,-5.122517347×10^-1,-7.203391194×10^-2
1.795889333×10^0,9.159581065×10^-1,-3.629144728×10^-1,-1.238483787×10^-1
1.805840333×10^0,1.067972779×10^0,-1.971604824×10^-1,-3.972183764×10^-1
1.815790333×10^0,1.057490826×10^0,-2.403132766×10^-1,-8.918571472×10^-1
1.825740333×10^0,1.144348383×10^0,-4.552385509×10^-1,-8.190684915×10^-1
1.835690333×10^0,1.312724590×10^0,-5.038843751×10^-1,-5.008500218×10^-1
1.845640333×10^0,1.334245801×10^0,-4.714177251×10^-1,-2.008289248×10^-1
1.855590333×10^0,1.169466615×10^0,-4.085175991×10^-1,3.675087541×10^-2
1.865540333×10^0,9.022439122×10^-1,-2.468575090×10^-1,2.346602678×10^-1
1.875490333×10^0,6.242610216×10^-1,-1.025349647×10^-2,3.531182110×10^-1
1.885440333×10^0,3.813263178×10^-1,2.283461243×10^-1,3.746359944×10^-1
1.895390333×10^0,2.349818945×10^-1,2.949928045×10^-1,4.077952802×10^-1
1.905340333×10^0,1.634209156×10^-1,2.778198421×10^-1,4.723153710×10^-1
1.915290333×10^0,1.629055887×10^-1,2.566453218×10^-1,5.497319102×10^-1
1.925240333×10^0,2.227503657×10^-1,2.120289207×10^-1,6.273066998×10^-1
1.935190333×10^0,2.848483324×10^-1,2.074884921×10^-1,6.715365052×10^-1
1.945140333×10^0,3.170582950×10^-1,1.882487535×10^-1,6.173873544×10^-1
1.955090333×10^0,3.208980262×10^-1,1.547882706×10^-1,5.067101121×10^-1
1.965040333×10^0,3.083530068×10^-1,1.864343435×10^-1,3.534345925×10^-1
1.974990333×10^0,3.035824895×10^-1,2.148140669×10^-1,1.904214174×10^-1
1.984940333×10^0,2.877605259×10^-1,2.721749544×10^-1,7.097269595×10^-2
1.994890333×10^0,2.788655758×10^-1,3.794899583×10^-1,1.429370791×10^-2
2.004840333×10^0,3.132697642×10^-1,4.908596277×10^-1,4.895530175×10^-3
2.014790333×10^0,3.559072614×10^-1,5.616656542×10^-1,2.974309027×10^-2
2.024740333×10^0,3.650057912×10^-1,5.556366444×10^-1,6.899252534×10^-2
2.034690333×10^0,2.685527503×10^-1,4.537848830×10^-1,1.095039994×10^-1
2.044641333×10^0,-6.126086041×10^-2,5.142127872×10^-1,3.002635539×10^-1
2.054591333×10^0,-4.346461594×10^-1,4.687545002×10^-1,5.351980329×10^-1
2.064541333×10^0,-7.238869071×10^-1,2.777823508×10^-1,6.055038571×10^-1
2.074491333×10^0,-1.011169076×10^0,-1.258448046×10^-2,6.084152460×10^-1
2.084441333×10^0,-1.188925624×10^0,-1.287111342×10^-1,5.313216448×10^-1
2.094391333×10^0,-1.153208733×10^0,9.567963332×10^-2,4.298096597×10^-1
2.104341333×10^0,-1.041253686×10^0,4.664284885×10^-1,2.641518414×10^-1
2.114291333×10^0,-8.870016932×10^-1,7.393764257×10^-1,7.105027139×10^-2
2.124241333×10^0,-7.843591571×10^-1,9.217724204×10^-1,1.706252061×10^-2
2.134191333×10^0,-7.485122085×10^-1,9.159530997×10^-1,1.224304810×10^-1
2.144141333×10^0,-8.334509730×10^-1,7.589864731×10^-1,2.152033597×10^-1
2.154091333×10^0,-8.577326536×10^-1,6.235098839×10^-1,3.066464365×10^-1
2.164041333×10^0,-6.555688381×10^-1,7.954128981×10^-1,3.502414227×10^-1
2.173991333×10^0,-4.523886144×10^-1,8.160571456×10^-1,4.293729961×10^-1
2.183941333×10^0,-2.592856884×10^-1,7.468959689×10^-1,5.241329670×10^-1
2.193891333×10^0,3.969832361×10^-1,8.220021725×10^-1,2.718607783×10^-1
2.203841333×10^0,1.037454605×10^0,4.602991045×10^-1,9.876404703×10^-2
2.213791333×10^0,1.247247458×10^0,3.272643685×10^-1,5.331639946×10^-2
2.223741333×10^0,1.263427854×10^0,2.823101878×10^-1,1.434224546×10^-1
2.233691333×10^0,1.214689612×10^0,-1.462715417×10^-1,8.427098393×10^-2
2.243641333×10^0,1.049510241×10^0,-4.244773686×10^-1,2.067083865×10^-2
2.253592333×10^0,7.033380270×10^-1,-1.015632153×10^-1,-3.808648512×10^-2
2.263542333×10^0,3.098310530×10^-1,2.690019608×10^-1,-3.257469088×10^-2
2.273492333×10^0,-1.553867012×10^-1,6.277800798×10^-1,-1.733634807×10^-2
2.283442333×10^0,-8.082190752×10^-1,9.867229462×10^-1,-3.905814141×10^-2
2.293392333×10^0,-1.853318334×10^0,2.779288054×10^0,-2.285425961×10^-1
2.303342333×10^0,-1.820246935×10^0,2.575076342×10^0,-2.691718340×10^-1
2.313292333×10^0,-1.757842898×10^0,1.719161153×10^0,-4.421197250×10^-2
2.323242333×10^0,-1.778250813×10^0,1.115643263×10^0,2.608676255×10^-1
2.333192333×10^0,-1.409258842×10^0,8.802242875×10^-1,3.738074899×10^-1
2.343142333×10^0,-8.674829602×10^-1,9.803184271×10^-1,5.457432270×10^-1
2.353092333×10^0,-2.336239815×10^-1,7.102808356×10^-1,6.605497003×10^-1
2.363042333×10^0,3.071066141×10^-1,4.821015894×10^-1,8.461994529×10^-1
2.372992333×10^0,7.212052345×10^-1,4.108375311×10^-1,8.777453899×10^-1
2.382942333×10^0,1.000501037×10^0,2.711407542×10^-1,8.524993658×10^-1
2.392892333×10^0,1.233127594×10^0,1.070868298×10^-1,8.554632068×10^-1
2.402842333×10^0,1.384542346×10^0,8.722422272×10^-2,7.437524199×10^-1
2.412792333×10^0,1.412290573×10^0,1.113452688×10^-1,6.005537510×10^-1
2.422742333×10^0,1.276285887×10^0,1.294165403×10^-1,4.259537160×10^-1
2.432692333×10^0,1.038889885×10^0,1.969369948×10^-1,2.275463343×10^-1
2.442642333×10^0,8.150082827×10^-1,2.033095509×10^-1,6.627996266×10^-2
2.452593333×10^0,6.289936900×10^-1,1.613370627×10^-1,-5.732266977×10^-2
2.462543333×10^0,4.035375118×10^-1,2.852376997×10^-1,-6.573490053×10^-2
2.472493333×10^0,1.674405485×10^-1,4.154556394×10^-1,5.986776948×10^-2
2.482443333×10^0,7.608676702×10^-2,3.951537013×10^-1,1.196163744×10^-1
2.492393333×10^0,8.457718790×10^-2,2.913775146×10^-1,1.954941005×10^-1
2.502343333×10^0,1.062236801×10^-1,1.592435539×10^-1,2.795690596×10^-1
2.512293333×10^0,1.223797426×10^-1,5.573367327×10^-2,3.363591135×10^-1
2.522243333×10^0,1.324296296×10^-1,-5.561260507×10^-2,3.596170545×10^-1
2.532193333×10^0,1.051215753×10^-1,-2.468033284×10^-1,2.144255042×10^-1
2.542143333×10^0,9.889571369×10^-2,-2.595847845×10^-1,2.008097321×10^-1
2.552093333×10^0,1.572322547×10^-1,-2.200075686×10^-1,2.350438684×10^-1
2.562043333×10^0,2.355066538×10^-1,-2.195636034×10^-1,2.011191994×10^-1
2.571993333×10^0,2.880790234×10^-1,-1.305983067×10^-1,1.387879103×10^-1
2.581943333×10^0,3.066780865×10^-1,4.242220148×10^-2,8.942737430×10^-2
2.591893333×10^0,3.001509607×10^-1,2.303694785×10^-1,1.557134539×10^-1
2.601843333×10^0,3.448671699×10^-1,3.003841043×10^-1,2.732661068×10^-1
2.611792542×10^0,4.482292533×10^-1,3.179066479×10^-1,3.238312900×10^-1
2.621742542×10^0,5.200035572×10^-1,3.734416068×10^-1,4.447301328×10^-1
2.631693542×10^0,5.480828881×10^-1,3.057698905×10^-1,5.210062861×10^-1
2.641643542×10^0,5.107056499×10^-1,1.477557719×10^-1,5.428379774×10^-1
2.651593542×10^0,4.102996886×10^-1,-6.305165589×10^-3,5.247820020×10^-1
2.661543542×10^0,2.661516964×10^-1,-1.618231684×10^-1,5.175223947×10^-1
2.671493542×10^0,8.007607609×10^-2,-3.372463584×10^-1,4.723131359×10^-1
2.681443542×10^0,-9.863757342×10^-2,-4.560267031×10^-1,3.346566260×10^-1
2.691393542×10^0,-2.436687946×10^-1,-4.616299868×10^-1,2.271754444×10^-1
2.701343542×10^0,-3.700792789×10^-1,-4.448379278×10^-1,1.624756902×10^-1
2.711293542×10^0,-4.926752448×10^-1,-4.309908152×10^-1,1.150900647×10^-1
2.721243542×10^0,-6.305162907×10^-1,-4.238499999×10^-1,7.571974397×10^-2
2.731193542×10^0,-8.064095378×10^-1,-4.683690071×10^-1,2.288902178×10^-2
2.741143542×10^0,-1.275570154×10^0,-8.381461501×10^-1,-1.393387765×10^-1
2.751093542×10^0,-2.189605236×10^0,-1.600554585×10^0,-3.825583458×10^-1
2.761043542×10^0,-2.135688782×10^0,-2.079795599×10^0,1.099897027×10^-1
2.770993542×10^0,-1.222131848×10^0,-1.225303411×10^0,6.071728468×10^-1
2.780943542×10^0,-3.529628217×10^-1,-4.864330590×10^-1,4.746811092×10^-1
2.790893542×10^0,4.662827849×10^-1,-1.128520295×10^-1,4.372530580×10^-1
2.800844542×10^0,1.266856670×10^0,8.711426705×10^-2,4.517879486×10^-1
2.810794542×10^0,1.792507648×10^0,4.177451730×10^-1,4.191660881×10^-1
2.820744542×10^0,1.941496372×10^0,7.626458406×10^-1,4.761663377×10^-1
2.830694542×10^0,1.795941591×10^0,9.690357447×10^-1,5.913211703×10^-1
2.840644542×10^0,1.485219598×10^0,1.070391178×10^0,6.999213099×10^-1
2.850594542×10^0,1.181082606×10^0,1.151160836×10^0,7.608413696×10^-1
2.860544542×10^0,9.546825886×10^-1,1.158248901×10^0,7.806580663×10^-1
2.870494542×10^0,7.842426896×10^-1,1.077339172×10^0,7.616726756×10^-1
2.880444542×10^0,6.040807962×10^-1,9.167867899×10^-1,7.750424743×10^-1
2.890394542×10^0,4.505418539×10^-1,8.463959694×10^-1,8.324825764×10^-1
2.900344542×10^0,2.931801975×10^-1,7.393227816×10^-1,9.162911773×10^-1
2.910294542×10^0,1.470714658×10^-1,6.474264264×10^-1,9.611084461×10^-1
2.920244542×10^0,9.848784655×10^-3,5.628051162×10^-1,9.419495463×10^-1
2.930194542×10^0,-1.354322433×10^-1,4.427479804×10^-1,8.554351926×10^-1
2.940144542×10^0,-2.284315228×10^-1,2.987613678×10^-1,6.784861684×10^-1
2.950094542×10^0,-2.856096029×10^-1,1.671644449×10^-1,5.086182952×10^-1
2.960044542×10^0,-3.145126998×10^-1,2.802369930×10^-2,3.684661984×10^-1
2.969994542×10^0,-3.276135921×10^-1,-2.080935426×10^-2,2.711031735×10^-1
2.979945542×10^0,-3.277702928×10^-1,4.270272702×10^-2,2.144750804×10^-1
2.989895542×10^0,-2.856542468×10^-1,3.368363678×10^-1,2.272872776×10^-1
2.999845542×10^0,-1.961086541×10^-1,6.361892223×10^-1,1.974295080×10^-1
3.009795542×10^0,-1.023819000×10^-1,9.354336858×10^-1,1.160776541×10^-1
3.019745542×10^0,-4.928819835×10^-2,1.179590702×10^0,-2.101211436×10^-2
3.029695542×10^0,-5.533916876×10^-2,1.324869514×10^0,-1.489389241×10^-1
3.039645542×10^0,-1.294868439×10^-1,1.396808147×10^0,-2.451652735×10^-1
3.049595542×10^0,-2.250077724×10^-1,1.385095835×10^0,-3.097014129×10^-1
3.059545542×10^0,-3.011390865×10^-1,1.263941050×10^0,-3.534755707×10^-1
3.069495542×10^0,-3.288178742×10^-1,1.031562448×10^0,-3.673152328×10^-1
3.079445542×10^0,-3.447494209×10^-1,7.468592525×10^-1,-3.477595747×10^-1
3.089395542×10^0,-3.866092563×10^-1,4.958885312×10^-1,-3.133312762×10^-1
3.099345542×10^0,-4.264121652×10^-1,2.692789733×10^-1,-2.799707949×10^-1
