"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.813046125×10^0,2.559677124×10^-2,9.803563385×10^0,7.767347717×10^-1
2.822995125×10^0,-2.814147949×10^-2,9.789043579×10^0,8.132588196×10^-1
2.832945125×10^0,-2.020797729×10^-2,9.781409454×10^0,9.042695618×10^-1
2.842895125×10^0,-2.095642090×10^-3,9.792935486×10^0,9.180409241×10^-1
2.852845125×10^0,6.735992432×10^-3,9.787247314×10^0,8.991801453×10^-1
2.862795125×10^0,2.948867798×10^-2,9.797575836×10^0,8.831634521×10^-1
2.872745125×10^0,8.981323242×10^-3,9.790989532×10^0,8.030799866×10^-1
2.882695125×10^0,1.826202393×10^-2,9.790091400×10^0,7.655081177×10^-1
2.892645125×10^0,4.101470947×10^-2,9.794881439×10^0,6.929090881×10^-1
2.902595125×10^0,1.017883301×10^-2,9.801168365×10^0,7.057823181×10^-1
2.912545125×10^0,-2.380050659×10^-2,9.802066498×10^0,7.173083496×10^-1
2.922494208×10^0,-1.661544800×10^-2,9.790989532×10^0,8.039781189×10^-1
2.932444208×10^0,3.487747192×10^-2,9.789193268×10^0,8.777746582×10^-1
2.942394208×10^0,4.041595459×10^-3,9.795929260×10^0,9.117539978×10^-1
2.952344208×10^0,1.092727661×10^-2,9.796977081×10^0,9.175918579×10^-1
2.962294208×10^0,3.233276367×10^-2,9.799821167×10^0,8.855584717×10^-1
2.972244208×10^0,3.412902832×10^-2,9.802365875×10^0,8.348139954×10^-1
2.982194208×10^0,-1.197509766×10^-3,9.793683929×10^0,8.071215820×10^-1
2.992144208×10^0,-4.415817261×10^-2,9.787846069×10^0,8.532257080×10^-1
3.002094208×10^0,4.191284180×10^-3,9.802216187×10^0,7.973918152×10^-1
3.012043208×10^0,8.981323242×10^-3,9.789792023×10^0,7.981402588×10^-1
3.021993208×10^0,3.188369751×10^-2,9.797126770×10^0,8.128097534×10^-1
3.031943208×10^0,5.119354248×10^-2,9.797276459×10^0,8.243357849×10^-1
3.041893208×10^0,4.355941772×10^-2,9.790091400×10^0,8.497828674×10^-1
3.051843208×10^0,7.484436035×10^-3,9.789193268×10^0,8.599617004×10^-1
3.061793208×10^0,2.335144043×10^-2,9.791887665×10^0,8.147557068×10^-1
3.071743208×10^0,1.437011719×10^-2,9.795330505×10^0,8.110134888×10^-1
3.081693208×10^0,-3.487747192×10^-2,9.788594513×10^0,7.677534485×10^-1
3.091643208×10^0,-1.437011719×10^-2,9.801767120×10^0,7.635621643×10^-1
3.101593208×10^0,3.906875610×10^-2,9.789342957×10^0,7.466473389×10^-1
3.111542208×10^0,4.296066284×10^-2,9.781409454×10^0,7.747888184×10^-1
3.121492208×10^0,3.397933960×10^-2,9.802665253×10^0,8.080197144×10^-1
3.131442208×10^0,7.035369873×10^-3,9.798623657×10^0,8.668473816×10^-1
3.141392208×10^0,5.987548828×10^-4,9.797875214×10^0,8.976832581×10^-1
3.151342208×10^0,-9.879455566×10^-3,9.783804474×10^0,8.728349304×10^-1
3.161292208×10^0,-1.377136230×10^-2,9.800120544×10^0,8.072712708×10^-1
3.171242208×10^0,1.721420288×10^-2,9.805808716×10^0,7.819738770×10^-1
3.181192208×10^0,5.897735596×10^-2,9.801767120×10^0,7.937992859×10^-1
3.191142208×10^0,1.586700439×10^-2,9.801617432×10^0,7.749385071×10^-1
3.201091208×10^0,2.619552612×10^-2,9.802814941×10^0,7.785310364×10^-1
3.211041208×10^0,3.742218018×10^-3,9.799072723×10^0,8.044271851×10^-1
3.220991208×10^0,1.197509766×10^-3,9.796827393×10^0,8.196954346×10^-1
3.230941208×10^0,5.688171387×10^-3,9.806108093×10^0,8.012837219×10^-1
