"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.228898417×10^0,2.317706496×10^-1,2.177904248×10^-1,6.699828897×10^-3
2.238848417×10^0,2.549750507×10^-1,1.233576536×10^-1,4.417503253×10^-2
2.248798417×10^0,3.109097183×10^-1,2.383200638×10^-2,7.717677206×10^-2
2.258749417×10^0,3.786419034×10^-1,-2.819843777×10^-2,9.349981695×10^-2
2.268699417×10^0,4.193492234×10^-1,-6.059435196×10^-3,9.810011834×10^-2
2.278649417×10^0,4.159853756×10^-1,5.683084577×10^-2,8.937906474×10^-2
2.288599417×10^0,3.845971227×10^-1,1.237403825×10^-1,6.159396842×10^-2
2.298549417×10^0,3.287101686×10^-1,1.766821593×10^-1,2.015465125×10^-2
2.308499417×10^0,2.567449212×10^-1,2.268624753×10^-1,-1.892787591×10^-2
2.318449417×10^0,1.773896366×10^-1,2.959831953×10^-1,-4.436372593×10^-2
2.328400417×10^0,1.121218726×10^-1,3.420447707×10^-1,-5.886942521×10^-2
2.338350417×10^0,7.429061085×10^-2,3.245110512×10^-1,-6.274566054×10^-2
2.348300417×10^0,6.793610752×10^-2,2.644569576×10^-1,-4.364274442×10^-2
2.358250417×10^0,8.751167357×10^-2,2.020971626×10^-1,-3.537442908×10^-2
2.368200417×10^0,1.036268249×10^-1,1.706665903×10^-1,-3.916733339×10^-2
2.378150417×10^0,9.475424141×10^-2,1.834734529×10^-1,-5.271696299×10^-2
2.388101417×10^0,6.385331601×10^-2,2.127972543×10^-1,-6.250381470×10^-2
2.398051417×10^0,3.748668358×10^-2,2.382879704×10^-1,-5.488850549×10^-2
2.408001417×10^0,3.200266138×10^-2,2.349909395×10^-1,-1.970508695×10^-2
2.417951417×10^0,6.390919536×10^-2,2.077265680×10^-1,1.421825867×10^-2
2.427901417×10^0,1.200751066×10^-1,1.722806394×10^-1,2.087155916×10^-2
2.437851417×10^0,1.720237881×10^-1,1.268319339×10^-1,1.474975049×10^-2
2.447802417×10^0,1.965684444×10^-1,9.151553363×10^-2,6.282838061×10^-3
2.457752417×10^0,1.900873631×10^-1,6.288974732×10^-2,-1.159416325×10^-2
2.467702417×10^0,1.621228009×10^-1,4.341574758×10^-2,-2.980498224×10^-2
2.477652417×10^0,1.134114489×10^-1,4.258004576×10^-2,-4.338923469×10^-2
2.487602417×10^0,6.188490614×10^-2,4.981625825×10^-2,-5.201582983×10^-2
2.497552417×10^0,2.940233052×10^-2,4.825005308×10^-2,-5.415088311×10^-2
2.507503417×10^0,2.182513662×10^-2,4.740896821×10^-2,-5.343407020×10^-2
2.517453417×10^0,3.499766439×10^-2,4.605528340×10^-2,-5.351050571×10^-2
2.527403417×10^0,6.197722629×10^-2,5.873417482×10^-2,-5.237801000×10^-2
2.537353417×10^0,8.920218796×10^-2,9.657902271×10^-2,-4.791295528×10^-2
2.547303417×10^0,1.278510988×10^-1,1.317729354×10^-1,-5.903528258×10^-2
2.557253417×10^0,1.660972834×10^-1,1.628216654×10^-1,-8.260212839×10^-2
