"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.705899125×10^0,-3.669020233×10^0,5.418582001×10^0,6.892417145×10^0
2.715848125×10^0,-3.560795288×10^0,6.417155457×10^0,5.067262573×10^0
2.725798125×10^0,-5.836961975×10^0,5.954467621×10^0,4.731211395×10^0
2.735748125×10^0,-5.291645966×10^0,5.452411652×10^0,4.311334534×10^0
2.745697125×10^0,-4.826862488×10^0,5.396577759×10^0,4.264481964×10^0
2.755647125×10^0,-5.660029907×10^0,5.353168030×10^0,4.358486481×10^0
2.765597125×10^0,-5.303471375×10^0,5.535339203×10^0,3.597469025×10^0
2.775547125×10^0,-4.940775604×10^0,6.015540619×10^0,2.694846039×10^0
2.785496125×10^0,-5.304369507×10^0,6.111940155×10^0,2.452949066×10^0
2.795446125×10^0,-5.317242737×10^0,5.639672241×10^0,2.399210815×10^0
2.805396125×10^0,-4.610711975×10^0,5.424569550×10^0,2.832110596×10^0
2.815345125×10^0,-3.737427979×10^0,5.511838074×10^0,4.089944916×10^0
2.825295125×10^0,-3.344046021×10^0,5.492528229×10^0,5.114414520×10^0
2.835245125×10^0,-4.050427094×10^0,5.370382233×10^0,5.625451813×10^0
2.845195125×10^0,-5.006039886×10^0,3.945195923×10^0,4.981490936×10^0
2.855144125×10^0,-5.184169464×10^0,4.079167328×10^0,3.916904755×10^0
2.865094125×10^0,-5.880371704×10^0,3.974834290×10^0,4.286486206×10^0
2.875044125×10^0,-6.021677856×10^0,3.694617004×10^0,4.516258392×10^0
2.884994125×10^0,-5.845943298×10^0,4.026027832×10^0,5.190007324×10^0
2.894943125×10^0,-6.353837128×10^0,4.010759583×10^0,6.108347626×10^0
2.904893125×10^0,-6.811136169×10^0,3.851341095×10^0,6.030210114×10^0
2.914843125×10^0,-6.659052429×10^0,3.992347870×10^0,5.484894104×10^0
2.924792125×10^0,-6.954687653×10^0,4.041146393×10^0,5.155279541×10^0
2.934742125×10^0,-7.429051208×10^0,4.041146393×10^0,4.803211670×10^0
2.944692125×10^0,-7.389383698×10^0,4.276157684×10^0,4.416715393×10^0
2.954642125×10^0,-7.091203766×10^0,4.634362793×10^0,4.359384613×10^0
2.964591125×10^0,-7.509284363×10^0,4.626728668×10^0,4.151167603×10^0
2.974541125×10^0,-7.967780914×10^0,4.602179718×10^0,3.654799805×10^0
2.984491125×10^0,-8.071215820×10^0,4.653972015×10^0,2.815495148×10^0
2.994440125×10^0,-7.999365234×10^0,4.710404663×10^0,2.115700378×10^0
3.004390125×10^0,-8.267308044×10^0,4.609963531×10^0,1.874102783×10^0
3.014340125×10^0,-8.684340820×10^0,4.370910645×10^0,2.033221893×10^0
3.024290125×10^0,-8.827742615×10^0,4.342320099×10^0,2.175875244×10^0
3.034239125×10^0,-8.953331451×10^0,4.413122864×10^0,2.481090546×10^0
3.044189125×10^0,-9.266929321×10^0,4.528383179×10^0,2.671045532×10^0
