"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.983709000×10^0,-3.801045685×10^0,8.238418121×10^0,6.303392029×10^-1
2.993659000×10^0,-3.629652100×10^0,8.126900024×10^0,6.884184265×10^-1
3.003609000×10^0,-3.507356415×10^0,7.974816284×10^0,6.098318481×10^-1
3.013559000×10^0,-3.434308319×10^0,7.847431183×10^0,4.584965515×10^-1
3.023509000×10^0,-3.403173065×10^0,7.793842621×10^0,3.026705933×10^-1
3.033459000×10^0,-3.456013184×10^0,7.886799316×10^0,1.329235840×10^-1
3.043408000×10^0,-3.629652100×10^0,8.086035004×10^0,4.041595459×10^-3
3.053358000×10^0,-3.880380707×10^0,8.388855286×10^0,-6.631210327×10^-2
3.063308000×10^0,-4.189487915×10^0,8.870254211×10^0,-2.368075562×10^-1
3.073258000×10^0,-4.479884033×10^0,9.491163025×10^0,-3.788621521×10^-1
3.083208000×10^0,-4.721930695×10^0,9.707912292×10^0,-5.069956970×10^-1
3.093158000×10^0,-4.607718201×10^0,9.539811859×10^0,-6.843768311×10^-1
3.103108000×10^0,-4.184847565×10^0,9.265133057×10^0,-7.952961731×10^-1
3.113057625×10^0,-3.927682343×10^0,8.796158295×10^0,-9.312135315×10^-1
3.123007625×10^0,-3.915557556×10^0,8.245603180×10^0,-1.181792450×10^0
3.132957625×10^0,-4.043691101×10^0,7.888445892×10^0,-1.505868530×10^0
3.142907625×10^0,-4.378245392×10^0,7.787855072×10^0,-1.622326355×10^0
3.152857625×10^0,-4.803511047×10^0,7.983049164×10^0,-1.610800323×10^0
3.162807625×10^0,-5.164859619×10^0,8.322094116×10^0,-1.553170166×10^0
3.172757625×10^0,-5.560786285×10^0,8.947942657×10^0,-1.632954254×10^0
3.182706625×10^0,-6.056555328×10^0,9.997709656×10^0,-1.862726440×10^0
3.192656625×10^0,-6.751560059×10^0,1.140463394×10^1,-2.340083771×10^0
3.202606625×10^0,-7.588469696×10^0,1.309267365×10^1,-3.006797333×10^0
3.212556625×10^0,-8.566386108×10^0,1.504027359×10^1,-3.646716614×10^0
3.222506625×10^0,-9.464368744×10^0,1.726629456×10^1,-3.895798645×10^0
3.232456625×10^0,-1.000699036×10^1,1.960293549×10^1,-3.588487701×10^0
3.242406625×10^0,-1.015997223×10^1,2.178479828×10^1,-2.647544403×10^0
3.252356625×10^0,-9.749825134×10^0,2.336221802×10^1,-1.306782532×10^0
3.262306625×10^0,-8.904832306×10^0,2.356145370×10^1,-2.938389587×10^-1
