"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.753447417×10^0,2.170398712×10^0,9.544898868×10^-1,1.595289946×10^0
2.763396417×10^0,2.129884720×10^0,6.757820845×10^-1,1.642726660×10^0
2.773344417×10^0,2.076471806×10^0,3.451065719×10^-1,1.697184086×10^0
2.783292417×10^0,2.025907516×10^0,6.112199649×10^-2,1.800573349×10^0
2.793241417×10^0,1.954838157×10^0,-1.626326740×10^-1,1.845430136×10^0
2.803189417×10^0,1.820284128×10^0,-2.788729966×10^-1,1.843623757×10^0
2.813138417×10^0,1.594279766×10^0,-2.065744400×10^-1,1.878403783×10^0
2.823086417×10^0,1.256858587×10^0,7.546417415×10^-2,2.003848314×10^0
2.833035417×10^0,8.126602173×10^-1,5.503998995×10^-1,2.151263237×10^0
2.842983417×10^0,3.251430392×10^-1,1.081098437×10^0,2.158716917×10^0
2.852931417×10^0,-1.802800894×10^-1,1.511834621×10^0,2.031223059×10^0
2.862880417×10^0,-6.710590720×10^-1,1.727736473×10^0,1.843773603×10^0
2.872828417×10^0,-1.084804654×10^0,1.739780426×10^0,1.606581092×10^0
2.882777417×10^0,-1.383817673×10^0,1.598934889×10^0,1.309489489×10^0
2.892725417×10^0,-1.568986773×10^0,1.395278811×10^0,9.567264318×10^-1
2.902674417×10^0,-1.689452171×10^0,1.181544185×10^0,5.507890582×10^-1
2.912622417×10^0,-1.826052904×10^0,9.729797840×10^-1,1.388658285×10^-1
2.922571417×10^0,-1.996720314×10^0,8.141187429×10^-1,-2.023801804×10^-1
2.932519417×10^0,-2.073053837×10^0,7.082517147×10^-1,-4.346154332×10^-1
2.942467417×10^0,-2.041536570×10^0,7.400125861×10^-1,-5.096645951×10^-1
2.952416417×10^0,-1.975273967×10^0,8.334048986×10^-1,-4.264829755×10^-1
2.962364417×10^0,-1.946387172×10^0,9.549046755×10^-1,-2.953324020×10^-1
2.972313417×10^0,-1.979826927×10^0,1.000795603×10^0,-1.896938980×10^-1
2.982261417×10^0,-2.083063364×10^0,8.828138113×10^-1,-1.312761158×10^-1
2.992209417×10^0,-2.126274347×10^0,7.387964725×10^-1,-1.871363372×10^-1
3.002158417×10^0,-1.877895117×10^0,8.393251896×10^-1,-1.838475913×10^-1
