"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.951894542×10^0,-7.971203327×10^-2,5.860656500×10^-1,-1.719568819×10^-1
2.961844542×10^0,-7.741592824×10^-2,5.532996655×10^-1,-2.389060408×10^-1
2.971794542×10^0,-6.434486061×10^-2,5.377414823×10^-1,-3.022847772×10^-1
2.981744542×10^0,-3.779746592×10^-2,5.262660980×10^-1,-3.431393206×10^-1
2.991693542×10^0,7.235615049×10^-4,5.110024810×10^-1,-3.618440330×10^-1
3.001643542×10^0,1.059902273×10^-2,5.205793381×10^-1,-3.627649546×10^-1
3.011593542×10^0,-1.604004577×10^-2,5.419186950×10^-1,-3.339620531×10^-1
3.021543542×10^0,-6.350655854×10^-2,5.752134323×10^-1,-2.736007273×10^-1
3.031492542×10^0,-1.057040766×10^-1,5.861126781×10^-1,-1.851025224×10^-1
3.041442542×10^0,-1.313267797×10^-1,5.638999939×10^-1,-5.167629570×10^-2
3.051392542×10^0,-1.256284267×10^-1,5.278410316×10^-1,1.100606769×10^-1
3.061342542×10^0,-7.314717770×10^-2,4.699630141×10^-1,2.714825869×10^-1
3.071291542×10^0,4.886049032×10^-2,3.881336451×10^-1,4.318155348×10^-1
3.081241542×10^0,2.298838198×10^-1,3.181486130×10^-1,5.729489923×10^-1
3.091191542×10^0,3.851115108×10^-1,3.100547493×10^-1,6.711069942×10^-1
3.101141542×10^0,4.396404326×10^-1,3.642079830×10^-1,6.995252967×10^-1
3.111090542×10^0,4.125451744×10^-1,5.006904602×10^-1,6.238873005×10^-1
3.121040542×10^0,3.618752360×10^-1,6.398361921×10^-1,3.988045752×10^-1
3.130990542×10^0,3.924826682×10^-1,7.085542679×10^-1,3.858115524×10^-2
