"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.390329417×10^0,-1.712768280×10^1,1.048180298×10^1,-1.327738953×10^-1
2.400278417×10^0,-2.126238464×10^1,8.767867126×10^0,-2.707120514×10^0
2.410226417×10^0,-2.256422745×10^1,7.103178864×10^0,-4.313280487×10^0
2.420175417×10^0,-1.985516098×10^1,5.880970459×10^0,-4.487518158×10^0
2.430123417×10^0,-1.712738342×10^1,5.772745514×10^0,-4.429738312×10^0
2.440071417×10^0,-1.473401047×10^1,5.035079498×10^0,-3.790567474×10^0
2.450020417×10^0,-1.152393585×10^1,3.677702179×10^0,-3.388802948×10^0
2.459968417×10^0,-7.497908020×10^0,3.117866364×10^0,-4.138144684×10^0
2.469917417×10^0,-3.463647308×10^0,5.035378876×10^0,-4.360881500×10^0
2.479865417×10^0,-1.734443207×10^0,3.769311676×10^0,-3.295546875×10^0
2.489814417×10^0,-2.300416260×10^0,1.790726166×10^0,-1.498533783×10^0
2.499762417×10^0,-3.118614807×10^0,2.921774139×10^0,2.772085419×10^0
2.509710417×10^0,-1.736089783×10^0,2.795287170×10^0,4.787644043×10^0
2.519659417×10^0,-9.945318604×10^-1,2.360740814×10^0,4.138444061×10^0
2.529607417×10^0,-1.506766663×10^0,2.324965210×10^0,6.159840546×10^0
2.539556417×10^0,-8.948391724×10^-1,2.325563965×10^0,4.583019562×10^0
2.549504417×10^0,-4.837939453×10^-1,2.028431854×10^0,3.177592163×10^0
2.559453417×10^0,-7.544311523×10^-2,2.154619446×10^0,2.560425568×10^0
2.569401417×10^0,-1.822609863×10^0,2.359692993×10^0,3.627556458×10^0
2.579350417×10^0,-2.392923889×10^0,4.301305389×10^0,6.345753937×10^0
2.589298417×10^0,-2.156266022×10^0,5.769751740×10^0,4.724176025×10^0
2.599246417×10^0,-3.272794189×10^0,5.842799835×10^0,2.896776123×10^0
2.609195417×10^0,-4.681514740×10^0,5.770949249×10^0,1.923799438×10^0
2.619143417×10^0,-3.965104523×10^0,4.274960175×10^0,2.626887360×10^0
2.629092417×10^0,-4.957091675×10^0,3.699107666×10^0,2.949915619×10^0
2.639040417×10^0,-6.391558685×10^0,3.747457123×10^0,4.848118286×10^0
2.648989417×10^0,-7.736661530×10^0,4.356839905×10^0,7.421566772×10^0
2.658937417×10^0,-9.597891083×10^0,5.041366425×10^0,6.733896790×10^0
2.668885417×10^0,-1.126198059×10^1,6.212530975×10^0,3.451821899×10^0
2.678834417×10^0,-1.207748474×10^1,7.733518066×10^0,1.246457977×10^0
2.688782417×10^0,-1.179726746×10^1,8.360115051×10^0,2.225122833×10^0
