"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.625616833×10^0,1.339956671×10^-1,3.291376114×10^0,3.488657236×10^0
2.635566833×10^0,9.370338172×10^-2,3.729534149×10^0,3.491183519×10^0
2.645516833×10^0,-3.063847125×10^-1,3.258338928×10^0,2.941982031×10^0
2.655466833×10^0,-5.193339586×10^-1,2.583297491×10^0,2.108478308×10^0
2.665416833×10^0,-3.749407232×10^-1,2.030154705×10^0,1.274882317×10^0
2.675366833×10^0,-1.945619285×10^-1,1.459261775×10^0,5.537331700×10^-1
2.685316833×10^0,-1.259433180×10^-1,9.027349949×10^-1,-2.943297103×10^-2
2.695266833×10^0,-1.166022941×10^-1,5.489737391×10^-1,-3.009259999×10^-1
2.705216833×10^0,-1.883580685×10^-1,3.355195522×10^-1,-2.912290692×10^-1
2.715166833×10^0,-2.996739149×10^-1,1.138808951×10^-1,-3.780774027×10^-2
2.725116833×10^0,-4.544204772×10^-1,-2.159776539×10^-1,5.223348141×10^-1
2.735066833×10^0,-4.992438555×10^-1,-3.404937685×10^-1,1.115833282×10^0
2.745016833×10^0,-4.191098809×10^-1,-1.469448060×10^-1,1.555755377×10^0
2.754966833×10^0,-2.495384514×10^-1,1.081559286×10^-1,1.888918638×10^0
2.764916833×10^0,-4.917966202×10^-3,1.954424381×10^-1,2.160975456×10^0
2.774866833×10^0,3.391001225×10^-1,5.395055190×10^-2,2.401045561×10^0
2.784816833×10^0,7.965834141×10^-1,-1.444161981×10^-1,2.599138260×10^0
2.794766833×10^0,1.224197626×10^0,-1.635853648×10^-1,2.808547735×10^0
2.804716833×10^0,1.553844333×10^0,-5.834206939×10^-2,3.053612232×10^0
2.814666833×10^0,1.699883819×10^0,7.609323412×10^-2,3.285668135×10^0
2.824616833×10^0,1.719395041×10^0,7.800631970×10^-2,3.485270262×10^0
2.834566833×10^0,1.636197090×10^0,-1.116403751×10^-2,3.616814852×10^0
2.844516833×10^0,1.452978611×10^0,-5.523885041×10^-2,3.577391148×10^0
2.854466833×10^0,1.182564378×10^0,-3.942302465×10^-1,3.107558012×10^0
2.864416833×10^0,6.514719129×10^-1,-1.533957601×10^0,2.001572847×10^0
2.874366833×10^0,1.038828939×10^-1,-2.421434164×10^0,8.807281852×10^-1
2.884316833×10^0,-2.991640382×10^-2,-2.420567036×10^0,3.323928416×10^-1
2.894266833×10^0,1.303824484×10^-1,-1.896511316×10^0,2.969493568×10^-1
2.904216833×10^0,2.923935652×10^-1,-1.294174790×10^0,3.972592056×10^-1
2.914165833×10^0,2.942053080×10^-1,-8.649951816×10^-1,4.270546436×10^-1
2.924115833×10^0,1.735904515×10^-1,-7.117442489×10^-1,4.010905027×10^-1
